     主目标       次目标    联合包络球半径（km）             接近开始时刻(UTC)             接近结束时刻(UTC)    接近时长(s)             最短椭距时刻(UTC)    最短椭距(km)                 接近时刻(UTC)    相对距离(km)    径向距离(km)    横向距离(km)    法相距离(km)    接近夹角(deg)    相对速度(km/s)    接近期间最小相对速度(km/s)    碰撞概率(Chan)    碰撞概率(Alfano)    碰撞概率(Patera)    最大碰撞概率    碰撞概率(马氏距离)    冲淡概率阈值(km)
    Mother1     Debris66                   0.002    2030-11-14 08:00:00.000026    2030-11-14 08:27:52.214986     1672.21496    2030-11-14 08:01:19.274127       20.022114    2030-11-14 08:01:19.274127       20.022114      -15.821706       -3.119906      -11.866964         0.165228          0.037061                      0.015218       1.056224e-9         1.056225e-9         1.058816e-9     8.501146e-9           1.058816e-9            6.113127
    Mother1    Debris296                   0.002    2030-11-14 11:28:52.038368    2030-11-14 11:38:32.355062     580.316693    2030-11-14 11:33:50.234621       28.364885    2030-11-14 11:33:50.234686       28.364885       -3.354469       -16.49038      -22.833782         0.329792          0.044132                      0.044091       1.120530e-9         1.120531e-9         1.137113e-9     3.608878e-9           1.137113e-9           10.061078
    Mother1    Debris136                   0.002    2030-11-14 14:36:59.708542    2030-11-14 14:40:00.000026     180.291484    2030-11-14 14:40:00.000026       24.428351    2030-11-14 14:40:00.000026       24.428351      -11.900211       20.617197        5.482745       140.281696         13.362771                      0.044222       1.453691e-9         1.453692e-9         3.592653e-9     2.980796e-9           3.592653e-9            14.14397
    Mother1    Debris155                   0.002    2030-11-14 17:23:42.845239    2030-11-14 17:31:59.902381     497.057142    2030-11-14 17:27:49.575971       24.130483    2030-11-14 17:27:49.575964       24.130483       23.992818       -2.328377       -1.097066         0.093891          0.054568                      0.051254      8.736240e-11        8.736243e-11        8.745739e-11     5.182075e-9          8.745739e-11            8.279085
    Mother1    Debris237                   0.002    2030-11-14 12:46:06.189645    2030-11-14 12:58:13.542380     727.352735    2030-11-14 12:52:26.415700       19.323137    2030-11-14 12:52:26.415700       19.323137      -14.661647        9.761241        7.945937         0.449625          0.065547                      0.054402       1.133933e-9         1.133934e-9         1.146466e-9     1.294882e-8           1.146466e-9            4.158559
    Mother1    Debris263                   0.002    2030-11-14 18:55:12.525238    2030-11-14 18:57:20.978628     128.453391    2030-11-14 18:56:15.571302       29.548596    2030-11-14 18:56:15.571302       29.548596       27.057391       -7.626554       -9.102353         0.137538          0.061053                      0.058738      3.004175e-10        3.004176e-10        3.024722e-10     2.506112e-9          3.024722e-10           14.051206
    Mother1    Debris206                   0.002    2030-11-14 12:50:53.134857    2030-11-14 12:58:17.961878     444.827021    2030-11-14 12:54:21.287847       26.950328    2030-11-14 12:54:21.287847       26.950328      -10.685297       24.727044        0.847303         0.456539          0.064854                      0.060047       2.939852e-9         2.939854e-9         2.988091e-9     5.733678e-9           2.988091e-9            6.699689
    Mother1    Debris151                   0.002    2030-11-14 20:41:21.526923    2030-11-14 20:49:34.374759     492.847836    2030-11-14 20:45:26.382069       14.746947    2030-11-14 20:45:26.382069       14.746947        2.417033      -13.742824       -4.771285         0.756755          0.103672                      0.103664       5.851557e-9         5.851562e-9         5.857439e-9     1.719356e-8           5.857439e-9            4.103769
    Mother1    Debris221                   0.002    2030-11-14 09:33:35.559508    2030-11-14 09:41:57.772798     502.213291    2030-11-14 09:37:42.011830       14.317325    2030-11-14 09:37:42.011833       14.317325       -8.039396       -3.657032      -11.268541         0.585134          0.112077                        0.1066       4.109495e-9         4.109498e-9         4.110690e-9     1.510415e-8           4.110690e-9            4.811634
    Mother1    Debris272                   0.002    2030-11-14 11:11:38.963203    2030-11-14 11:19:52.391006     493.427804    2030-11-14 11:15:41.895764       10.256547    2030-11-14 11:15:41.895764       10.256547       -9.460874        2.519674       -3.056119         0.672166          0.120189                      0.114482       5.251629e-9         5.251632e-9         5.252603e-9     3.506876e-8           5.252603e-9            2.892873
    Mother1    Debris303                   0.002    2030-11-14 11:03:38.662522    2030-11-14 11:09:13.677197     335.014674    2030-11-14 11:06:24.385843       23.852904    2030-11-14 11:06:24.385843       23.852904        2.654221        15.21522       18.177271         0.716853          0.114577                      0.114522       2.483054e-9         2.483056e-9         2.489547e-9     4.589491e-9           2.489547e-9            9.407883
    Mother1     Debris64                   0.002    2030-11-14 09:30:08.716299    2030-11-14 09:36:04.099159      355.38286    2030-11-14 09:33:07.183231       16.119573    2030-11-14 09:33:07.183231       16.119573       -15.70775        0.211717        3.614193         0.206683          0.149915                      0.145291       1.586951e-9         1.586952e-9         1.586955e-9     1.177726e-8           1.586955e-9            5.480917
    Mother1    Debris228                   0.002    2030-11-14 10:23:13.774780    2030-11-14 10:29:35.053690      381.27891    2030-11-14 10:26:24.141803       10.465953    2030-11-14 10:26:24.141800       10.465953        0.610599       -9.370113        4.622155         1.127094          0.146268                      0.146164       4.532662e-9         4.532666e-9         4.534196e-9     2.699732e-8           4.534196e-9            3.682573
    Mother1    Debris316                   0.002    2030-11-14 14:20:28.649495    2030-11-14 14:27:03.875717     395.226222    2030-11-14 14:23:47.819025          9.0443    2030-11-14 14:23:47.819025          9.0443       -6.143894       -4.600933        4.783653          0.66281          0.151488                      0.150207       6.941018e-9         6.941024e-9         6.941689e-9     2.214380e-8           6.941689e-9            5.208382
    Mother1     Debris71                   0.002    2030-11-14 09:31:24.570384    2030-11-14 09:35:57.010063     272.439678    2030-11-14 09:33:40.863051        6.888723    2030-11-14 09:33:40.863051        6.888723        0.328276       -6.801896        1.039687         1.623477          0.213699                      0.213631       5.006214e-9         5.006218e-9         5.006494e-9     6.389008e-8           5.006494e-9             2.36417
    Mother1    Debris318                   0.002    2030-11-14 12:58:43.842318    2030-11-14 13:02:04.718229     200.875911    2030-11-14 13:00:25.088968       19.608273    2030-11-14 13:00:25.088972       19.608273       12.837385       -13.50701        6.102999         1.193889          0.231359                       0.22961       4.278768e-9         4.278771e-9         4.279998e-9     5.433531e-9           4.279998e-9            9.716962
    Mother1    Debris136                   0.002    2030-11-14 14:40:00.000026    2030-11-14 14:40:02.964175       2.964149    2030-11-14 14:40:01.195263       18.492578    2030-11-14 14:40:01.195263       18.492578      -16.810654        5.446045        5.451417        140.41623           13.3628                     13.362771       3.581642e-9         3.581645e-9         3.581642e-9     5.212927e-9           3.581642e-9           10.739226
