     主目标       次目标    联合包络球半径（km）             接近开始时刻(UTC)             接近结束时刻(UTC)    接近时长(s)             最短椭距时刻(UTC)    最短椭距(km)                 接近时刻(UTC)    相对距离(km)    径向距离(km)    横向距离(km)    法相距离(km)    接近夹角(deg)    相对速度(km/s)    接近期间最小相对速度(km/s)    碰撞概率(Chan)    碰撞概率(Alfano)    碰撞概率(Patera)    最大碰撞概率    碰撞概率(马氏距离)    冲淡概率阈值(km)
    Mother3    Debris345                   0.002    2030-11-14 17:05:41.581360    2030-11-14 17:28:55.844564    1394.263204    2030-11-14 17:17:04.642363        3.203704    2030-11-14 17:17:04.642363        3.203704       -0.478716        2.448708       -2.009571         0.291601          0.040644                      0.039824       5.468797e-9         5.468801e-9         5.471061e-9     2.889823e-7           5.471061e-9            1.123899
    Mother3    Debris164                   0.002    2030-11-14 11:36:51.072498    2030-11-14 12:00:23.490594    1412.418095    2030-11-14 11:49:19.683207        4.805667    2030-11-14 11:49:19.683207        4.805667        1.805693         3.89802        2.153915         0.314661          0.040733                      0.040545       5.981854e-9         5.981858e-9         5.988809e-9     1.521911e-7           5.988809e-9            1.422682
    Mother3    Debris192                   0.002    2030-11-14 12:36:45.068542    2030-11-14 12:54:59.525387    1094.456845    2030-11-14 12:45:32.924011        3.577244    2030-11-14 12:45:32.924004        3.577244        2.786432       -0.094816        2.241312         0.083081          0.064386                      0.056319       1.663046e-8         1.663047e-8         1.663051e-8     2.195257e-7           1.663051e-8            1.325003
    Mother3    Debris341                   0.002    2030-11-14 08:54:25.551552    2030-11-14 09:09:45.926705     920.375153    2030-11-14 09:02:29.755183       11.181482    2030-11-14 09:02:29.755166       11.181482       -3.033737        3.559244       10.156464         0.168003          0.071224                      0.060666       1.085208e-8         1.085209e-8         1.085900e-8     1.958199e-8           1.085900e-8            4.752199
    Mother3    Debris231                   0.002    2030-11-14 10:42:35.378845    2030-11-14 10:46:19.868813     224.489968    2030-11-14 10:44:30.052777       27.925448    2030-11-14 10:44:30.052777       27.925448       21.201888        8.004932      -16.316607         0.305065          0.084393                      0.080763      9.920190e-10        9.920196e-10        9.933096e-10     2.297389e-9          9.933096e-10           16.218705
    Mother3    Debris209                   0.002    2030-11-14 19:42:16.207560    2030-11-14 19:48:16.124538     359.916978    2030-11-14 19:45:21.737761       25.743853    2030-11-14 19:45:21.737761       25.743853        6.309612       22.171749      -11.460729         0.681157          0.086502                      0.086002       2.410927e-9         2.410928e-9         2.426827e-9     4.740040e-9           2.426827e-9            8.526982
    Mother3    Debris178                   0.002    2030-11-14 08:56:55.376996    2030-11-14 09:00:00.182668     184.805673    2030-11-14 08:58:29.970368       28.409544    2030-11-14 08:58:29.970368       28.409544       20.130274       11.309781      -16.551831         0.388287          0.091955                       0.08813       1.396163e-9         1.396164e-9         1.398692e-9     2.213922e-9           1.398692e-9           16.543379
    Mother3     Debris73                   0.002    2030-11-14 08:18:53.644408    2030-11-14 08:26:18.299139     444.654731    2030-11-14 08:22:39.389182       22.658794    2030-11-14 08:22:39.389182       22.658794        3.486164      -21.659631        5.668156         0.723958          0.091594                      0.091411       3.668845e-9         3.668848e-9         3.682438e-9     6.478670e-9           3.682438e-9            7.052277
    Mother3    Debris161                   0.002    2030-11-14 15:07:56.312114    2030-11-14 15:14:18.592877     382.280763    2030-11-14 15:11:08.909120       22.292387    2030-11-14 15:11:08.909120       22.292387       -4.085975       -8.345559       20.263439         0.697751          0.102772                      0.102602       1.881001e-9         1.881002e-9         1.881956e-9     5.333847e-9           1.881956e-9            8.706727
    Mother3    Debris326                   0.002    2030-11-14 20:36:50.181710    2030-11-14 20:41:51.355693     301.173983    2030-11-14 20:39:20.833562       25.532536    2030-11-14 20:39:20.833561       25.532536       -0.289039      -22.103483      -12.777437          0.74091          0.104905                      0.104404       4.316066e-9         4.316069e-9         4.331790e-9     6.407545e-9           4.331790e-9            6.327999
    Mother3    Debris209                   0.002    2030-11-14 15:29:40.739515    2030-11-14 15:38:06.873062     506.133547    2030-11-14 15:33:54.150923        8.453878    2030-11-14 15:33:54.150923        8.453878       -0.584349        8.033112        2.568211         0.846511           0.11269                      0.112384       4.971202e-9         4.971206e-9         4.972871e-9     4.291981e-8           4.972871e-9            2.867722
    Mother3    Debris222                   0.002    2030-11-14 10:53:39.279850    2030-11-14 11:01:42.068439     482.788589    2030-11-14 10:57:38.492291        8.526199    2030-11-14 10:57:38.492291        8.526199        3.528383       -7.295149       -2.650923         0.770737          0.113412                       0.11341       5.400496e-9         5.400500e-9         5.401963e-9     3.798995e-8           5.401963e-9            3.212378
