DateTime,x(m),y(m),z(m),vx(m/s),vy(m/s),vz(m/s)
--------------------------,---------------,----------------,----------------,------------,------------,------------
2030-11-14 08:00:00.000000,530360.886179,-1872077.472525,6843826.899451,-2022.780301,-7018.947521,-1700.566856
2030-11-14 08:01:00.000000,408023.465575,-2289227.730545,6728267.477560,-2053.780151,-6881.500232,-2150.037438
2030-11-14 08:02:15.557403,251727.567749,-2801452.989393,6544829.982225,-2081.191898,-6670.043749,-2702.836725
2030-11-14 08:03:28.702348,98909.013776,-3280635.892563,6328071.167285,-2095.273101,-6425.900067,-3220.937976
2030-11-14 08:04:42.242913,-55319.493652,-3743020.297962,6072650.449613,-2097.035074,-6142.923472,-3721.867576
2030-11-14 08:05:55.776838,-209207.492835,-4183227.482300,5781244.918438,-2086.402640,-5824.172568,-4199.819765
2030-11-14 08:07:09.361736,-361966.198056,-4599019.504220,5455384.648171,-2063.463200,-5471.382681,-4652.387371
2030-11-14 08:08:22.987163,-512671.716994,-4987880.157170,5097042.976116,-2028.376997,-5086.751296,-5076.863567
2030-11-14 08:09:36.650797,-660430.378811,-5347508.067510,4708358.204744,-1981.377088,-4672.629077,-5470.775555
2030-11-14 08:10:50.350950,-804368.462188,-5675783.447275,4291646.307553,-1922.767377,-4231.533322,-5831.847937
2030-11-14 08:12:04.081205,-943627.416524,-5970759.120916,3849418.011633,-1852.925258,-3766.164730,-6157.991863
2030-11-14 08:13:17.835039,-1077379.088020,-6230698.452981,3384340.162043,-1772.296837,-3279.365073,-6447.345535
2030-11-14 08:14:31.601932,-1204824.635754,-6454075.631416,2899243.527198,-1681.398526,-2774.124134,-6698.273162
2030-11-14 08:15:45.368817,-1325203.936887,-6639598.438166,2397097.754043,-1580.813521,-2253.552115,-6909.388582
2030-11-14 08:16:59.106872,-1437782.684245,-6786200.155392,1881085.431594,-1471.208949,-1720.954598,-7079.543091
2030-11-14 08:18:12.774136,-1541870.132247,-6893091.325745,1354570.066449,-1353.334682,-1179.796588,-7207.879530
2030-11-14 08:19:26.283657,-1636793.816142,-6959780.090802,821303.690685,-1228.078250,-633.912180,-7293.845797
2030-11-14 08:20:39.439200,-1721864.364551,-6986191.183455,285872.213862,-1096.593723,-87.951219,-7337.305285
2030-11-14 08:21:53.828247,-1798271.761662,-6972088.289377,-260250.772605,-956.698319,466.774952,-7338.331184
2030-11-14 08:23:08.045771,-1863926.708948,-6917010.738520,-803583.227553,-811.732024,1016.569991,-7296.117436
2030-11-14 08:24:22.742130,-1918966.061394,-6820615.014883,-1345643.983216,-661.259806,1563.012521,-7210.415000
2030-11-14 08:25:37.428257,-1962616.977349,-6683780.879417,-1879630.418766,-507.116758,2099.290189,-7082.014371
2030-11-14 08:26:52.170805,-1994665.738604,-6507219.723810,-2402848.812442,-350.073014,2622.769861,-6911.638935
2030-11-14 08:28:06.955919,-2014909.374625,-6291986.788657,-2912086.352802,-191.074731,3130.315040,-6700.347714
2030-11-14 08:29:21.779804,-2023222.664726,-6039354.799641,-3404286.646606,-31.055928,3618.964570,-6449.420197
2030-11-14 08:30:36.636136,-2019552.421792,-5750831.842297,-3876479.955701,129.041016,4085.860265,-6160.371564
2030-11-14 08:31:51.517495,-2003919.265585,-5428151.016016,-4325813.227715,288.273916,4528.274333,-5834.941470
2030-11-14 08:33:06.415083,-1976418.314313,-5073262.770468,-4749568.112439,445.705801,4943.624468,-5475.085740
2030-11-14 08:34:21.318657,-1937219.501063,-4688325.007467,-5145180.264242,600.410456,5329.489982,-5082.966226
2030-11-14 08:35:36.216618,-1886567.297517,-4275690.661533,-5510258.937201,751.478304,5683.628031,-4660.938574
2030-11-14 08:36:51.093245,-1824782.351761,-3837910.363917,-5842593.659593,898.016777,6003.977322,-4211.556001
2030-11-14 08:38:05.933552,-1752256.967819,-3377690.162103,-6140196.287286,1039.165980,6288.696056,-3737.527566
2030-11-14 08:39:20.715811,-1669460.271151,-2897919.336626,-6401288.424756,1174.090505,6536.147360,-3241.748970
2030-11-14 08:40:35.414266,-1576935.425941,-2401638.429818,-6624337.577106,1301.992074,6744.932134,-2727.272675
2030-11-14 08:41:49.995713,-1475302.355338,-1892042.069407,-6808070.932291,1422.111559,6913.900922,-2197.314462
2030-11-14 08:43:04.410197,-1365270.761915,-1372522.805617,-6951488.848895,1533.724986,7042.167269,-1655.303729
2030-11-14 08:44:18.580641,-1247659.057636,-846722.204313,-7053906.234107,1636.145440,7129.149919,-1104.943123
2030-11-14 08:45:32.370403,-1123454.240821,-318732.487700,-7115014.319810,1728.708029,7174.640831,-550.428549
2030-11-14 08:46:45.466620,-994035.426195,206113.239651,-7135046.587525,1810.694256,7178.996572,2.703816
2030-11-14 08:48:00.882979,-854621.260501,746361.907353,-7113288.409402,1884.652977,7140.887003,574.169396
2030-11-14 08:49:15.856418,-710913.587512,1278979.955379,-7049012.167676,1947.019883,7060.199898,1139.779556
2030-11-14 08:50:30.780373,-563058.672800,1803614.863551,-6942611.049256,1997.830942,6937.253079,1699.223747
2030-11-14 08:51:45.588756,-412074.207358,2316687.353108,-6794873.751124,2036.740501,6772.847794,2248.748372
2030-11-14 08:53:00.281323,-258868.661624,2815167.500370,-6606789.989446,2063.528265,6567.963040,2785.150810
2030-11-14 08:54:14.849191,-104378.237568,3296066.624024,-6379610.806130,2078.040230,6323.835415,3305.237938
2030-11-14 08:55:29.285988,50461.402457,3756533.164228,-6114820.538556,2080.196710,6041.932139,3805.927643
2030-11-14 08:56:43.584895,204715.175609,4193850.739755,-5814133.151952,2069.992154,5723.951696,4284.246546
2030-11-14 08:57:57.741557,357460.612462,4605471.868752,-5479468.046692,2047.495239,5371.802608,4737.367317
2030-11-14 08:59:11.749710,507784.699789,4989007.956431,-5112954.323946,2012.849655,4987.612197,5162.599033
2030-11-14 09:00:25.606192,654799.888576,5342270.851152,-4716892.919451,1966.272051,4573.690710,5557.435079
2030-11-14 09:01:39.306386,797640.375966,5663261.357965,-4293762.150735,1908.052954,4132.540678,5919.543320
2030-11-14 09:02:52.846295,935471.782024,5950192.245825,-3846191.149034,1838.554718,3666.832042,6246.795078
2030-11-14 09:04:06.221010,1067493.595397,6201492.978889,-3376951.215474,1758.211160,3179.395405,6537.274307
2030-11-14 09:05:19.424012,1192943.481894,6415819.556329,-2888943.241980,1667.526846,2673.210430,6789.292768
2030-11-14 09:06:32.442958,1311096.415828,6592057.681035,-2385209.008936,1567.081231,2151.418177,7001.397187
2030-11-14 09:07:45.259003,1421271.594857,6729343.624491,-1868919.767798,1457.529582,1617.308945,7172.396539
2030-11-14 09:08:57.835691,1522826.222642,6827074.963521,-1343437.081135,1339.620411,1074.383895,7301.375200
2030-11-14 09:10:10.091328,1615137.792248,6884947.247849,-812496.814107,1214.247761,526.542158,7387.728331
2030-11-14 09:11:21.821566,1697555.402694,6903080.236932,-280758.713942,1082.609317,-21.358365,7431.277341
2030-11-14 09:12:34.738970,1771416.271194,6881181.334459,261406.304031,942.233387,-579.150837,7432.055309
2030-11-14 09:13:47.349039,1834580.412352,6819029.885532,799753.118392,796.698851,-1132.073785,7389.109825
2030-11-14 09:15:00.257857,1887187.973864,6716421.494603,1335582.445418,645.662494,-1681.362734,7302.221990
2030-11-14 09:16:13.042541,1928571.128920,6574358.991431,1862599.667189,490.888598,-2220.454397,7172.154375
2030-11-14 09:17:25.774898,1958554.732669,6393639.976912,2378228.594927,333.173400,-2746.608178,6999.634369
2030-11-14 09:18:38.455873,1976976.384443,6175374.356688,2879443.164369,173.476491,-3256.629815,6785.726168
2030-11-14 09:19:51.096241,1983743.905761,5920859.742986,3363374.440418,12.747471,-3747.496976,6531.722675
2030-11-14 09:21:03.704292,1978829.653971,5631601.224433,3827237.858409,-148.053682,-4216.288187,6239.162429
2030-11-14 09:22:16.288357,1962271.706708,5309296.949953,4268366.192006,-307.968125,-4660.219383,5909.813708
2030-11-14 09:23:28.855381,1934174.112441,4955835.561741,4684215.761505,-466.041077,-5076.652804,5545.669816
2030-11-14 09:24:41.411669,1894706.768134,4573284.132265,5072386.421846,-621.329588,-5463.119304,5148.934317
2030-11-14 09:25:53.962302,1844105.231113,4163880.760423,5430633.085379,-772.907361,-5817.331550,4722.010677
2030-11-14 09:27:06.510988,1782670.251826,3730024.466131,5756879.979512,-919.870566,-6137.199403,4267.488941
2030-11-14 09:28:19.058354,1710768.638942,3274273.912399,6049228.825525,-1061.340672,-6420.838836,3788.141616
2030-11-14 09:29:31.603935,1628830.622420,2799322.611237,6305983.520021,-1196.474814,-6666.596446,3286.894900
2030-11-14 09:30:44.142024,1537353.135142,2308011.349071,6525651.255309,-1324.464540,-6873.050657,2766.839183
2030-11-14 09:31:56.660312,1436901.574888,1803323.958781,6706961.891264,-1444.541546,-7039.030720,2231.222456
2030-11-14 09:33:09.140988,1328107.621197,1288362.761121,6848895.319361,-1555.988289,-7163.642734,1683.422376
2030-11-14 09:34:21.545937,1211691.459466,766434.217287,6950686.126284,-1658.126601,-7246.276625,1127.036030
2030-11-14 09:35:33.795284,1088502.614464,241182.909388,7011872.375804,-1750.310489,-7286.660692,566.022902
2030-11-14 09:36:45.696769,959657.818841,-282929.241221,7032414.045225,-1831.886441,-7285.002957,5.219425
2030-11-14 09:37:59.109399,822449.049849,-816366.726381,7011794.357189,-1904.254386,-7240.371705,-566.543852
2030-11-14 09:39:12.357006,680669.344450,-1343766.138749,6949522.292035,-1965.063562,-7152.996878,-1132.784009
2030-11-14 09:40:25.681735,534707.299491,-1863759.077707,6845902.312294,-2014.207105,-7023.322634,-1691.997146
2030-11-14 09:41:39.049070,385492.704700,-2373014.393970,6701563.949286,-2051.377587,-6852.216037,-2240.580253
2030-11-14 09:42:52.463835,233898.701876,-2868548.053378,6517347.142578,-2076.373453,-6640.745992,-2775.307559
2030-11-14 09:44:05.925011,80824.118961,-3347417.118683,6294338.803665,-2089.063416,-6390.232839,-3293.001787
2030-11-14 09:45:19.431803,-72824.033323,-3806780.900625,6033858.276331,-2089.391206,-6102.229234,-3790.599660
2030-11-14 09:46:32.982603,-226133.957329,-4243911.824288,5737452.759125,-2077.375572,-5778.513611,-4265.163216
2030-11-14 09:47:46.577174,-378199.209954,-4656225.141121,5406879.011693,-2053.109530,-5421.068808,-4713.911523
2030-11-14 09:49:00.212974,-528116.641694,-5041273.488504,5044108.027670,-2016.760359,-5032.085895,-5134.214165
2030-11-14 09:50:13.886903,-674995.749799,-5396774.056429,4651307.740475,-1968.568746,-4613.944055,-5523.620041
2030-11-14 09:51:27.595756,-817965.242543,-5720625.599688,4230827.327949,-1908.846859,-4169.192619,-5879.875160
2030-11-14 09:52:41.334388,-956175.134963,-6010914.630448,3785193.454774,-1837.977882,-3700.545848,-6200.928479
2030-11-14 09:53:55.095103,-1088801.720702,-6265929.616804,3317100.613284,-1756.415197,-3210.871339,-6484.946298
2030-11-14 09:55:08.866867,-1215052.648636,-6484175.642692,2829401.534265,-1664.681637,-2703.178528,-6730.326972
2030-11-14 09:56:22.634104,-1334171.892544,-6664389.558379,2325099.164098,-1563.369200,-2180.608845,-6935.715908
2030-11-14 09:57:36.369600,-1445437.064786,-6805548.076619,1807378.823292,-1453.147862,-1646.467226,-7100.011735
2030-11-14 09:58:50.024820,-1548158.417912,-6906894.551958,1279660.905170,-1334.782213,-1104.273716,-7222.391432
2030-11-14 10:00:03.505833,-1641668.505034,-6967987.941817,745755.449988,-1209.176841,-557.917775,-7302.355634
2030-11-14 10:01:16.588150,-1725266.340484,-6988827.088768,210456.799571,-1077.543016,-12.256782,-7339.840249
2030-11-14 10:02:30.998636,-1800269.636635,-6969085.957457,-335788.433259,-937.436211,542.441956,-7334.851819
2030-11-14 10:03:45.217269,-1864493.015287,-6908411.814209,-878649.128745,-792.409385,1091.622416,-7286.674930
2030-11-14 10:04:59.925257,-1918097.838217,-6806427.800523,-1419866.389064,-641.968094,1637.089792,-7195.030703
2030-11-14 10:06:14.620720,-1960318.011823,-6664093.707895,-1952551.630552,-487.972173,2171.947913,-7060.790623
2030-11-14 10:07:29.372078,-1990948.448674,-6482146.763967,-2474030.821124,-331.186941,2693.585381,-6884.704238
2030-11-14 10:08:44.164692,-2009794.729876,-6261677.719259,-2981096.360534,-172.558214,3198.872674,-6667.866158
2030-11-14 10:09:58.995280,-2016740.358696,-6003989.855401,-3470708.567825,-13.016323,3684.866710,-6411.586260
2030-11-14 10:11:13.856597,-2011740.598590,-5710625.751458,-3939907.741908,146.497623,4148.720338,-6117.413775
2030-11-14 10:12:28.741853,-1994824.392222,-5383346.192172,-4385863.549750,305.046631,4587.728929,-5787.115427
2030-11-14 10:13:43.641833,-1966094.971610,-5024131.882025,-4805876.338148,461.697281,4999.328893,-5422.676548
2030-11-14 10:14:58.546187,-1925730.104018,-4635168.237374,-5197404.989095,615.528141,5381.122257,-5026.285702
2030-11-14 10:16:13.442089,-1873982.606768,-4218840.280765,-5558079.276630,765.632748,5730.885846,-4600.329991
2030-11-14 10:17:28.314702,-1811179.835892,-3777717.459623,-5885722.495397,911.126529,6046.590484,-4147.380679
2030-11-14 10:18:43.148096,-1737721.631271,-3314532.438275,-6178373.875553,1051.154473,6326.419902,-3670.173080
2030-11-14 10:19:57.919184,-1654085.124846,-2832202.338426,-6434285.069068,1184.886164,6568.765106,-3171.630810
2030-11-14 10:21:12.603082,-1560818.568796,-2333778.494055,-6651964.239671,1311.533024,6772.264721,-2654.817059
2030-11-14 10:22:27.163286,-1458551.742753,-1822491.195134,-6830170.487857,1430.339417,6935.798779,-2122.984658
2030-11-14 10:23:41.547409,-1348003.549762,-1301760.717274,-6967946.913088,1540.588277,7058.520814,-1579.592616
2030-11-14 10:24:55.672311,-1230007.493669,-775278.403962,-7064655.721284,1641.597047,7139.894785,-1028.397193
2030-11-14 10:26:09.388041,-1105579.111539,-247233.302950,-7120050.427118,1732.701481,7179.774423,-473.698781
2030-11-14 10:27:22.336228,-976186.860252,276722.606733,-7134471.751826,1813.161527,7178.630077,78.625028
2030-11-14 10:28:37.751587,-836641.700774,816723.375612,-7106990.042600,1885.706452,7134.869053,649.969046
2030-11-14 10:29:52.707199,-692942.729563,1348554.252578,-7037070.469096,1946.645750,7048.600998,1214.892952
2030-11-14 10:31:07.614113,-545202.818376,1871993.910471,-6925106.081111,1996.033473,6920.137835,1773.222526
2030-11-14 10:32:22.403824,-394443.350583,2383455.233223,-6771926.800246,2033.531409,6750.320656,2321.192184
2030-11-14 10:33:37.076567,-241570.188823,2879923.047271,-6578554.831324,2058.927757,6540.159538,2855.611176
2030-11-14 10:34:51.623231,-87517.637853,3358421.315838,-6346274.682514,2072.076775,6290.923902,3373.295787
2030-11-14 10:36:06.038308,66783.466070,3816120.388728,-6076598.972405,2072.907008,6004.108989,3871.183265
2030-11-14 10:37:20.314455,220400.653910,4250319.293103,-5771272.875603,2061.420809,5681.445194,4346.312584
2030-11-14 10:38:34.447516,372416.163612,4658492.602790,-5432242.768395,2037.694627,5324.869178,4795.876126
2030-11-14 10:39:48.431370,521922.174469,5038275.415358,-5061662.975996,2001.879673,4936.535258,5217.204739
2030-11-14 10:41:02.262902,668036.660590,5387504.429894,-4661857.793242,1954.199803,4518.779362,5607.815225
2030-11-14 10:42:15.938043,809900.814672,5704209.083088,-4235323.819044,1894.952006,4074.124964,5965.403552
2030-11-14 10:43:29.452907,946686.793930,5986629.759993,-3784708.165267,1824.504851,3605.263117,6287.868573
2030-11-14 10:44:42.801093,1077598.213962,6233219.707892,-3312808.280291,1743.299811,3115.054372,6573.317839
2030-11-14 10:45:55.976269,1201880.602587,6442667.413062,-2822538.781961,1651.847262,2606.495651,6820.097166
2030-11-14 10:47:08.966630,1318817.768281,6613892.880975,-2316949.803855,1550.731323,2082.739846,7026.790146
2030-11-14 10:48:21.749216,1427731.282218,6746059.652828,-1799251.028384,1440.618324,1547.120218,7192.234318
2030-11-14 10:49:34.285173,1527985.526552,6838605.056618,-1272828.918453,1322.266142,1003.166657,7315.557245
2030-11-14 10:50:46.484971,1618961.076355,6891270.813295,-741480.888834,1196.587960,454.844509,7396.203166
2030-11-14 10:51:58.110425,1699989.155590,6904251.109742,-210116.600850,1064.851223,-92.728789,7434.065287
2030-11-14 10:53:11.026275,1772546.293013,6877144.655668,332031.273901,924.292671,-650.557607,7429.110580
2030-11-14 10:54:23.615347,1834387.949017,6809845.060340,869801.857790,778.723765,-1202.933679,7380.474100
2030-11-14 10:55:36.512565,1885678.230591,6702118.097567,1404709.352214,627.745030,-1751.310947,7287.916591
2030-11-14 10:56:49.286058,1925756.537608,6555033.139348,1930400.998229,473.138861,-2289.065158,7152.273781
2030-11-14 10:58:02.009070,1954454.767828,6369408.688818,2444318.734210,315.697512,-2813.473901,6974.299618
2030-11-14 10:59:14.682080,1971617.504732,6146383.148281,2943443.644851,156.379860,-3321.350353,6755.092571
