DebrisID,Mother,TimeSeconds,UTC,Distance_m,RelativeSpeed_mps
66,1,0,2030-11-14 08:00:00,20230.2779578383,38.4994544331255
73,3,1134,2030-11-14 08:18:54,29982.5890546811,91.7033841683168
101,2,1774,2030-11-14 08:29:34,29964.4733797626,86.1481988256249
341,3,3266,2030-11-14 08:54:26,29982.8760892654,60.6807210097902
178,3,3416,2030-11-14 08:56:56,29976.3239491911,88.1725950931843
64,1,5409,2030-11-14 09:30:09,29975.9684942465,145.311922330039
221,1,5616,2030-11-14 09:33:36,29969.4233267408,112.804341639507
305,2,5948,2030-11-14 09:39:08,29997.5913153846,103.613445939713
282,2,6506,2030-11-14 09:48:26,29991.0617243395,51.4325008019508
163,2,6786,2030-11-14 09:53:06,29990.0733912459,54.9399419262423
52,2,7407,2030-11-14 10:03:27,29989.42542044,42.4435329010816
228,1,8608,2030-11-14 10:23:28,27992.5171684402,149.972515808123
231,3,9756,2030-11-14 10:42:36,29966.9123151732,80.808228630513
222,3,10420,2030-11-14 10:53:40,29903.5774003655,117.396667292431
267,3,10600,2030-11-14 10:56:40,29891.653741251,120.833100052504
303,1,11019,2030-11-14 11:03:39,29963.7010341617,117.163173844
272,1,11500,2030-11-14 11:11:40,29903.2818651633,119.620358255142
296,1,12534,2030-11-14 11:28:54,29996.7932554989,46.5564836009058
164,3,13012,2030-11-14 11:36:52,29980.6520935241,45.91719750224
106,2,13085,2030-11-14 11:38:05,29991.8803721548,60.2011055709508
17,2,13312,2030-11-14 11:41:52,29980.8602447343,48.5081566788732
150,2,13768,2030-11-14 11:49:28,29934.8795270775,125.97253214004
220,3,15048,2030-11-14 12:10:48,29940.2297856057,147.141577843067
192,3,16606,2030-11-14 12:36:46,29972.6135969854,62.4240597533856
237,1,17167,2030-11-14 12:46:07,29958.8374792719,54.4180993503261
206,1,17453,2030-11-14 12:50:53,29975.8606463859,69.6091343923499
136,1,23822,2030-11-14 14:37:02,29981.0737146742,47.2154591346787
174,2,24600,2030-11-14 14:50:00,24651.0479595888,126.827812679151
161,3,25616,2030-11-14 15:06:56,29972.6468974551,114.63413565198
152,1,26700,2030-11-14 15:25:00,29709.6096155991,53.8119108723724
22,3,27007,2030-11-14 15:30:07,29967.1064931634,109.793368305288
209,3,27074,2030-11-14 15:31:14,29995.980208442,91.1500495073237
283,2,27384,2030-11-14 15:36:24,29970.0373357759,89.3780301694208
342,2,28259,2030-11-14 15:50:59,29947.0619280266,48.9189055514953
301,2,29130,2030-11-14 16:05:30,29992.5375183239,148.938046853615
271,3,30138,2030-11-14 16:22:18,29973.5128718693,83.1533057121919
155,1,33053,2030-11-14 17:10:53,29991.9032766928,118.450640290153
68,3,33163,2030-11-14 17:12:43,29967.073197932,102.693872300698
265,1,33639,2030-11-14 17:20:39,29958.0427320015,97.9765517765642
57,2,34929,2030-11-14 17:42:09,29903.5123398914,123.963740137699
276,2,35073,2030-11-14 17:44:33,29963.2888169714,38.4368247442021
345,3,35098,2030-11-14 17:44:58,29975.0380591853,40.8220923685895
123,2,35129,2030-11-14 17:45:29,29995.051932007,108.745991074714
91,3,38422,2030-11-14 18:40:22,29987.2646234533,54.9380744590478
172,1,38891,2030-11-14 18:48:11,29972.4646779838,50.0360104604727
157,1,39624,2030-11-14 19:00:24,29978.3376325789,113.982449719896
287,3,42249,2030-11-14 19:44:09,29966.4899554237,54.7261117690269
133,3,44410,2030-11-14 20:20:10,29948.6742313588,60.736124430214
314,3,45461,2030-11-14 20:37:41,29880.7402331491,143.842750480404
83,1,46005,2030-11-14 20:46:45,29985.2172484409,133.515102231469
159,1,46256,2030-11-14 20:50:56,29987.2585267031,91.4127341748559
