Model,Mother,Arc,Duration_s,PositionError_m,VelocityError_mps
1,1,1,24000,596.495436433692,0.922542454613738
1,1,2,2700,87.385743833263,0.0816050710563838
1,1,3,20700,854.791762296879,0.658176406520434
1,1,4,2700,38.6945727294928,0.0258711653173004
1,1,5,18300,335.391987790323,0.0527408365540806
1,1,6,2700,3.65821527652761,0.00257418229827675
1,1,7,15300,0.677428270472127,4.41109429369377e-05
1,2,8,21900,619.821163413921,0.183857074351851
1,2,9,2700,13.5738878577834,0.00783763279483445
1,2,10,19500,357.523669936525,0.417743681808521
1,2,11,2700,75.4102779411626,0.0779589659982788
1,2,12,17100,502.453388564197,0.432549393989348
1,2,13,2700,13.2224083069196,0.00462641813256585
1,2,14,19800,0.478964163453512,2.53236694758095e-05
1,3,15,22200,553.106895012921,0.556686790420422
1,3,16,2700,78.7683511748434,0.0913117249222103
1,3,17,21000,299.193747217346,0.661391429886408
1,3,18,2700,82.9294678631256,0.0660420543924329
1,3,19,20700,607.885632303114,0.59599790083253
1,3,20,2700,43.4365802054211,0.0386935494375854
1,3,21,14400,294.394593055865,0.238082324584436
2,1,1,24000,596.338394666982,0.922425657614839
2,1,2,2700,87.3758502581956,0.081588635669044
2,1,3,20700,854.614581082985,0.657940249961043
2,1,4,2700,38.7025326405887,0.0258803483194267
2,1,5,18300,335.158713246862,0.0527024621551542
2,1,6,2700,3.65733205952575,0.00257366468938079
2,1,7,15300,0.679129720190688,4.42369893647812e-05
2,2,8,21900,619.762387115143,0.183680773517086
2,2,9,2700,13.5812242981883,0.00785847153499051
2,2,10,19500,357.425126707654,0.417657909335352
2,2,11,2700,75.3964448500001,0.0779408071251331
2,2,12,17100,502.311406213247,0.43244428013075
2,2,13,2700,13.22262251583,0.00462636937555942
2,2,14,19800,0.476550760081092,2.51813790370148e-05
2,3,15,22200,552.9205827586,0.556485578392515
2,3,16,2700,78.7437485469653,0.0912849416744802
2,3,17,21000,299.043449154137,0.661308648004012
2,3,18,2700,82.9204082050799,0.0660279876144728
2,3,19,20700,607.441909556273,0.595580094432975
2,3,20,2700,43.4354027101573,0.0386923233470708
2,3,21,14400,294.357557890474,0.238061674440011
